Journal_title,ISSN,2012,2013,2014,2015,2016,2017,2018
International Reviews in Physical Chemistry,0144235X,NA,NA,NA,2.172,NA,2.393,3.297
International Security,01622889,4.869,4.581,5.528,4.592,4.308,3.1,4.768
International Small Business Journal,02662426,NA,NA,NA,2.098,2.737,2.35,2.15
International Soil and Water Conservation Research,20956339,NA,NA,NA,NA,NA,NA,2.298
International Statistical Review,03067734,NA,2.28,2.33,NA,NA,NA,NA
International Studies Quarterly,00208833,NA,NA,2.199,NA,NA,NA,NA
International Theory,17529719,NA,NA,2.343,NA,NA,2.346,NA
Internet and Higher Education,10967516,NA,2.808,3.202,3.242,4.2,4.131,4.693
Internet Research,10662243,NA,NA,NA,2.192,2.149,NA,NA
Inventiones Mathematicae,00209910,3.46,3.472,3.403,3.671,3.736,3.683,3.543
IPSJ Online Transactions,18826660,NA,NA,NA,NA,NA,NA,2.54
Irish Economic and Social History,03324893,NA,NA,NA,NA,2.272,2.206,NA
Irrigation Science,03427188,2.427,2.235,NA,NA,NA,NA,NA
ISA Transactions,00190578,2.414,2.647,2.516,NA,NA,NA,NA
ISIJ International,09151559,2.213,NA,NA,NA,NA,NA,NA
Isis,00211753,2.759,2.62,NA,NA,2.391,NA,NA
Islamic Law and Society,09289380,NA,NA,NA,NA,2.336,NA,NA
ISME Journal,17517362,2.175,2.246,2.292,2.493,2.261,2.33,2.227
ISPRS Journal of Photogrammetry and Remote Sensing,09242716,3.313,2.927,2.565,2.836,3.058,3.064,2.862
ISRN Civil Engineering,20905106,NA,NA,NA,NA,2.457,9.104,NA
IUCrJ,,NA,NA,NA,NA,2.231,NA,NA
JACC: Cardiovascular Imaging,1936878X,2.203,NA,2.219,2.269,2.57,2.661,2.51
JACC: Cardiovascular Interventions,19368798,2.178,2.642,2.771,2.444,2.282,NA,NA
JACC: Heart Failure,22131779,NA,NA,NA,2.998,2.543,2.784,2.284
JAMA - Journal of the American Medical Association,00029955,10.113,10.476,9.807,9.857,9.305,10.482,9.848
JAMA Cardiology,23806583,NA,NA,NA,NA,NA,2.606,3.242
JAMA Dermatology,21686068,NA,NA,NA,NA,2.158,2.24,2.16
JAMA Internal Medicine,21686106,3.867,3.671,3.665,4.085,4.574,4.897,5.302
JAMA Neurology,21686149,NA,NA,NA,NA,2.413,2.77,2.759
JAMA Oncology,23742437,NA,NA,NA,NA,4.214,4.899,4.83
JAMA Pediatrics,21686203,NA,NA,2.371,3.017,3.431,3.499,3.832
JAMA Psychiatry,2168622X,4.466,5.019,4.478,4.288,4.513,4.687,5.289
JAMA Surgery,21686254,NA,NA,NA,2.242,2.55,2.871,3.066
Japanese Journal of Mathematics,02892316,NA,NA,NA,3.136,NA,NA,NA
Jewish History,0334701X,3.257,NA,NA,NA,NA,NA,NA
Joule,,NA,NA,NA,NA,NA,NA,2.881
Journal for European Environmental and Planning Law,16137272,NA,NA,2.795,NA,NA,NA,NA
Journal for Research in Mathematics Education,00218251,3.025,NA,2.218,2.255,NA,2.939,NA
Journal for Technology of Plasticity,03543870,2.276,NA,NA,NA,NA,NA,NA
Journal for the Study of Judaism,00472212,2.492,NA,NA,2.369,NA,NA,NA
Journal of Abnormal Psychology,0021843X,NA,2.215,NA,2.255,NA,NA,NA
Journal of Accounting and Economics,01654101,3.286,4.292,3.232,4.174,4.064,3.443,2.84
Journal of Accounting Literature,07374607,NA,NA,NA,NA,NA,NA,2.185
Journal of Accounting Research,00218456,2.345,2.348,2.294,2.713,3.04,3.434,3.488
Journal of Acute Disease,22216189,NA,NA,NA,6.387,NA,NA,NA
Journal of Advanced Research,20901232,NA,NA,NA,NA,NA,2.239,2.741
Journal of Advances in Modeling Earth Systems,19422466,2.3,NA,NA,NA,NA,NA,NA
Journal of Advertising,00913367,NA,NA,NA,NA,2.61,NA,NA
Journal of Agrarian Change,14710358,NA,2.342,NA,NA,NA,NA,2.124
"Journal of Agricultural, Food, and Environmental Sciences",19347235,NA,NA,NA,2.227,NA,NA,NA
Journal of Algebraic Geometry,10563911,NA,NA,NA,NA,2.403,2.186,NA
Journal of Algorithms,01966774,2.625,NA,NA,NA,NA,NA,NA
Journal of Allergy and Clinical Immunology,00916749,2.678,2.708,2.429,2.339,2.338,2.263,2.135
Journal of American Folklore,00218715,2.348,NA,NA,NA,NA,NA,NA
Journal of American History,00218723,NA,NA,NA,NA,2.765,NA,NA
Journal of Analysis and Applications,09725954,NA,NA,NA,NA,NA,2.267,NA
Journal of Applied Crystallography,00218898,4.623,6.283,4.255,2.49,NA,NA,NA
Journal of Applied Ecology,00218901,NA,2.202,2.187,NA,NA,NA,NA
Journal of Applied Econometrics,08837252,2.358,NA,2.471,2.429,2.362,2.329,2.11
Journal of Applied Psychology,00219010,3.924,3.375,3.741,3.328,2.935,2.637,3.148
Journal of Applied Volcanology,,NA,NA,3.202,NA,NA,NA,NA
Journal of Archaeological Research,10590161,2.326,3.069,NA,2.82,2.75,2.295,2.112
Journal of Artificial Intelligence and Soft Computing Research,20832567,NA,NA,NA,NA,NA,2.785,4.066
Journal of Artificial Intelligence Research,10769757,3.643,2.873,2.428,2.688,2.719,2.277,NA
Journal of Astronomical Instrumentation,22511717,NA,2.484,NA,NA,2.792,NA,NA
"Journal of Astronomical Telescopes, Instruments, and Systems",23294124,NA,NA,NA,NA,2.132,2.188,NA
Journal of Autoimmunity,08968411,NA,NA,NA,NA,NA,2.138,NA
Journal of Banking and Finance,03784266,NA,2.22,NA,NA,NA,NA,NA
Journal of Big Data,,NA,NA,NA,5.395,4.26,4.456,4.117
Journal of Biomedical Informatics,15320464,NA,NA,2.275,2.119,NA,NA,NA
Journal of Biomedical Semantics,,2.507,NA,NA,NA,NA,NA,NA
Journal of Blood Medicine,11792736,NA,NA,NA,2.804,NA,NA,NA
Journal of Bone and Joint Surgery - Series A,00219355,2.328,2.442,2.511,2.541,2.613,2.536,2.188
Journal of Bone and Mineral Research,08840431,NA,2.229,2.338,NA,NA,2.153,NA
Journal of British Studies,00219371,NA,2.213,NA,NA,NA,NA,NA
Journal of Business and Economic Statistics,07350015,2.317,2.591,2.865,NA,NA,NA,NA
Journal of Business Research,01482963,NA,NA,NA,NA,2.664,NA,NA
Journal of Business Venturing,08839026,3.458,4.002,4.32,3.497,4.251,4.277,3.31
Journal of Canadian Petroleum Technology,00219487,NA,NA,NA,NA,2.705,2.683,2.508
Journal of Cancer Epidemiology,16878558,NA,NA,NA,NA,2.818,NA,NA
Journal of Carcinogenesis,09746773,NA,NA,NA,NA,NA,NA,2.443
Journal of Catalysis,00219517,2.244,NA,2.248,2.125,NA,NA,NA
Journal of Cell Death,11790660,NA,NA,NA,NA,NA,2.306,NA
Journal of Cellular Immunotherapy,,NA,NA,NA,NA,NA,3.825,7.398
Journal of Celtic Linguistics,09621377,NA,NA,4.875,NA,NA,NA,NA
Journal of Cheminformatics,17582946,NA,NA,NA,2.124,NA,NA,NA
Journal of Child Psychology and Psychiatry and Allied Disciplines,00219630,NA,2.411,2.678,2.475,2.514,2.186,2.224
Journal of Chinese Military History,22127445,NA,NA,NA,NA,NA,3.02,NA
Journal of Chinese Religions,0737769X,NA,NA,NA,NA,2.2,NA,NA
Journal of Chiropractic Medicine,15563707,NA,NA,NA,NA,NA,NA,2.456
Journal of Classification,01764268,NA,NA,NA,NA,NA,2.184,NA
Journal of Cleaner Production,09596526,2.318,2.496,2.477,2.373,2.53,2.339,2.308
Journal of Clinical Endocrinology and Metabolism,0021972X,2.379,2.328,2.197,NA,NA,NA,NA
Journal of Clinical Epidemiology,08954356,NA,2.671,2.501,2.119,2.527,2.173,NA
Journal of Clinical Investigation,00219738,3.248,3.229,3.109,2.984,2.807,2.621,2.462
Journal of Clinical Medicine,,NA,NA,NA,NA,NA,NA,2.285
Journal of Clinical Oncology,0732183X,4.858,4.658,4.456,4.909,5.013,5.209,5.223
Journal of Cloud Computing,,NA,NA,2.338,NA,NA,2.14,NA
Journal of Communication,00219916,2.479,2.77,3.043,3.332,2.424,3.046,2.381
Journal of Complexity,0885064X,NA,NA,2.485,NA,NA,NA,NA
Journal of Composites for Construction,10900268,NA,3.061,2.317,NA,NA,NA,NA
Journal of Computational Design and Engineering,22884300,NA,NA,NA,3.015,NA,NA,NA
Journal of Computational Physics,00219991,NA,2.382,NA,NA,NA,NA,NA
Journal of Computational Science,18777503,2.267,NA,NA,NA,NA,NA,NA
Journal of Computer Assisted Learning,02664909,2.679,2.499,NA,2.261,2.33,NA,2.267
Journal of Computer Security,0926227X,2.266,NA,NA,NA,NA,NA,NA
Journal of Computer-Mediated Communication,10836101,2.576,NA,2.739,3.232,3.876,3.177,3.018
Journal of Conflict Resolution,00220027,NA,NA,2.219,NA,NA,2.445,2.494
Journal of Construction Engineering and Management - ASCE,07339364,NA,2.201,NA,NA,NA,NA,NA
Journal of Constructional Steel Research,0143974X,2.858,2.489,2.258,NA,NA,2.272,NA
Journal of Consulting and Clinical Psychology,0022006X,3.067,2.984,3.077,2.81,2.364,2.302,NA
Journal of Consumer Culture,14695405,2.189,2.485,3.051,2.17,NA,NA,NA
Journal of Consumer Research,00935301,3.068,3.135,2.348,2.319,3.204,2.981,2.843
Journal of Counseling Psychology,00220167,2.164,2.274,2.415,2.415,2.172,NA,2.143
Journal of Cryptology,09332790,2.826,2.755,2.414,2.388,2.247,NA,NA
Journal of Cybersecurity,,NA,NA,NA,NA,NA,3.093,NA
Journal of Data and Information Quality,19361955,2.5,NA,NA,NA,NA,NA,NA
Journal of Democracy,10455736,2.269,2.305,NA,2.659,2.488,2.704,3.351
Journal of Dental Biomechanics,17587360,NA,NA,NA,NA,NA,3.423,NA
Journal of Dental Research,00220345,NA,NA,NA,NA,NA,2.152,2.232
"Journal of Dental Research, Dental Clinics, Dental Prospects",2008210X,NA,NA,NA,NA,NA,5.174,NA
Journal of Development Economics,03043878,3.485,3.041,2.444,2.642,2.77,2.155,2.604
Journal of Differential Geometry,0022040X,NA,NA,2.265,2.118,NA,NA,NA
Journal of Early Christian Studies,10676341,NA,2.211,NA,NA,NA,NA,NA
Journal of Early Modern History,13853783,NA,NA,NA,NA,2.195,NA,NA
Journal of Ecology,00220477,NA,NA,NA,2.109,NA,NA,NA
Journal of Econometrics,03044076,2.215,NA,2.374,2.117,NA,NA,2.207
Journal of Economic Geography,14682702,2.696,2.599,2.651,2.77,2.542,2.72,2.662
Journal of Economic Growth,13814338,2.4,3.559,2.668,3.1,2.6,4.074,5.809
Journal of Economic Inequality,15691721,NA,2.21,NA,NA,NA,NA,NA
Journal of Economic Literature,00220515,10.959,10.137,9.5,8.672,6.289,5.979,4.47
Journal of Economic Perspectives,08953309,5.493,5.449,7.275,6.934,7.008,7.321,6.693
Journal of Economic Surveys,09500804,NA,NA,2.343,2.898,2.629,2.631,2.649
Journal of Education Policy,02680939,2.491,NA,NA,2.358,2.479,NA,NA
Journal of Educational Change,13892843,2.302,NA,NA,NA,NA,NA,NA
Journal of Educational Measurement,00220655,NA,NA,NA,2.151,2.305,NA,NA
Journal of Educational Psychology,00220663,3.307,2.938,2.93,3.424,3.016,3.053,3.125
Journal of Egyptian History,18741657,NA,NA,NA,2.718,NA,NA,NA
Journal of Electromagnetic Engineering and Science,22348409,NA,NA,NA,NA,NA,NA,3.034
Journal of Empirical Generalisations in Marketing Science,13264443,3.117,NA,NA,NA,2.864,NA,NA
Journal of Engineering Education,10694730,7.075,3.862,3.553,9.098,5.403,8.656,7.527
"Journal of Engineering, Computing and Architecture",19347197,2.545,NA,NA,NA,NA,NA,NA
Journal of Environmental Economics and Management,00950696,NA,2.633,2.391,NA,NA,2.345,NA
Journal of Environmental Management,03014797,2.508,NA,NA,NA,NA,NA,NA
Journal of Environmental Psychology,02724944,2.397,2.795,2.635,NA,2.214,NA,NA
Journal of European Public Policy,13501763,NA,NA,NA,NA,NA,2.242,NA
Journal of European Social Policy,09589287,NA,2.456,NA,2.377,NA,NA,NA
Journal of Experimental Criminology,15733750,NA,NA,NA,NA,NA,NA,2.35
Journal of Experimental Medicine,00221007,2.897,2.958,2.754,2.625,2.531,2.273,2.143
Journal of Experimental Psychology: General,00963445,2.492,2.446,2.758,2.277,2.395,2.165,NA
Journal of Extracellular Vesicles,,NA,NA,NA,NA,2.36,2.773,2.285
Journal of Field Robotics,15564959,2.844,2.685,2.739,2.954,3.344,2.684,2.787
Journal of Finance,00221082,5.125,6.406,6.334,5.559,5.739,5.934,5.633
Journal of Financial and Quantitative Analysis,00221090,NA,2.503,2.231,NA,2.195,NA,2.21
Journal of Financial Economics,0304405X,3.683,4.455,4.794,4.414,4.628,4.659,4.942
Journal of Financial Intermediation,10429573,NA,2.829,NA,2.384,2.102,NA,NA
Journal of Financial Markets,13864181,NA,NA,2.332,NA,NA,NA,NA
Journal of Financial Stability,15723089,NA,2.586,2.199,NA,NA,NA,NA
Journal of Fluids and Structures,08899746,2.284,2.745,2.632,NA,NA,NA,2.358
Journal of Food Science and Technology,00221155,NA,NA,2.452,NA,NA,NA,NA
Journal of Functional Biomaterials,,NA,NA,NA,NA,NA,NA,2.234
Journal of Geodesy,09497714,2.958,4.05,3.214,2.346,2.753,2.884,2.727
Journal of Geosciences,04492560,NA,NA,NA,2.174,NA,NA,NA
Journal of Geotechnical and Geoenvironmental Engineering - ASCE,10900241,2.813,2.949,2.847,2.208,2.66,3.065,2.538
Journal of Global Health,20472978,NA,NA,NA,2.998,NA,NA,NA
Journal of Global History,17400228,NA,2.223,NA,2.209,NA,NA,NA
Journal of Grid Computing,15707873,NA,NA,NA,2.266,NA,NA,NA
"Journal of Guidance, Control, and Dynamics",07315090,2.865,2.414,2.519,2.385,2.494,NA,NA
Journal of Hazardous Materials,03043894,2.443,2.419,2.256,NA,NA,NA,NA
Journal of Health and Social Behavior,00221465,2.21,2.496,NA,NA,NA,NA,NA
Journal of Health Economics,01676296,NA,NA,NA,2.269,NA,NA,2.218
Journal of Heart and Lung Transplantation,10532498,NA,NA,2.364,2.539,2.438,2.757,2.712
Journal of Hellenic Studies,00754269,2.539,2.203,NA,NA,NA,NA,NA
Journal of Hepato-Biliary-Pancreatic Surgery,09441166,NA,3.14,3.309,NA,NA,NA,NA
Journal of Hepatology,01688278,2.559,2.911,3.012,3.328,2.906,3.239,3.607
Journal of Heuristics,13811231,2.179,NA,NA,NA,NA,NA,NA
Journal of High Energy Astrophysics,22144048,NA,NA,NA,2.872,NA,NA,NA
Journal of Higher Education,00221546,2.258,NA,2.196,NA,2.155,NA,NA
Journal of Historical Linguistics,22102116,NA,NA,NA,NA,2.827,NA,NA
Journal of Historical Pragmatics,15665852,NA,NA,NA,NA,NA,2.532,NA
Journal of Hospitality and Tourism Research,10963480,NA,NA,NA,NA,NA,2.655,2.298
Journal of Human Development and Capabilities,19452829,2.399,NA,NA,NA,NA,NA,NA
Journal of Human Resources,0022166X,2.496,2.339,NA,NA,3.298,4.644,6.653
Journal of Indian Philosophy,00221791,NA,NA,NA,NA,2.269,NA,NA
Journal of Industrial Information Integration,2452414X,NA,NA,NA,NA,NA,2.564,3.336
Journal of Information Hiding and Multimedia Signal Processing,20734212,3.907,2.467,4.046,NA,NA,NA,NA
Journal of Information Processing Systems,1976913X,NA,NA,3.612,NA,NA,NA,NA
Journal of Information Technology,02683962,NA,2.614,NA,NA,NA,2.671,3.656
Journal of Informetrics,17511577,2.508,NA,NA,NA,NA,NA,NA
Journal of Instruction-Level Parallelism,,NA,NA,2.891,NA,NA,NA,NA
Journal of Intellectual Capital,14691930,NA,2.44,NA,2.128,2.285,NA,NA
Journal of Intelligent Manufacturing,09565515,2.181,NA,NA,NA,NA,NA,NA
Journal of Interactive Marketing,10949968,NA,NA,2.344,3.327,3.16,2.338,NA
Journal of Internal Medicine,09546820,NA,NA,NA,NA,2.409,NA,NA
Journal of International Agricultural and Extension Education,10770755,NA,3.275,NA,NA,NA,NA,NA
Journal of International Business Studies,00472506,3.164,2.932,2.343,2.513,3.101,3.191,2.695
Journal of International Dispute Settlement,20403585,3.186,NA,NA,NA,NA,NA,NA
Journal of International Economics,00221996,2.457,2.982,2.891,2.792,2.229,NA,2.528
Journal of International Marketing,1069031X,2.332,NA,NA,NA,2.236,NA,NA
Journal of Internet Services and Applications,18674828,4.023,3.267,NA,NA,NA,NA,NA
Journal of Investigative Dermatology Symposium Proceedings,10870024,3.158,4.549,7.173,NA,NA,NA,NA
Journal of Islamic Studies,09552340,NA,NA,NA,NA,2.315,NA,NA
Journal of King Saud University - Science,10183647,NA,NA,NA,NA,2.139,NA,NA
"Journal of King Saud University, Engineering Sciences",10183639,NA,NA,NA,NA,NA,2.279,2.588
Journal of Knowledge Management,13673270,NA,NA,2.296,2.184,2.201,NA,NA
Journal of Labor Economics,0734306X,2.576,NA,2.655,3.09,3.134,3.159,3.956
Journal of Latin American Studies,0022216X,2.566,NA,NA,NA,NA,NA,NA
Journal of Legal Analysis,21617201,NA,NA,NA,NA,2.116,NA,NA
Journal of Legal Studies,00472530,NA,NA,NA,2.296,NA,NA,NA
Journal of Lightwave Technology,07338724,2.47,2.415,2.39,NA,NA,NA,NA
Journal of Linguistics,00222267,NA,2.201,NA,NA,NA,NA,NA
Journal of Lipids,20903030,NA,NA,NA,3.23,NA,NA,NA
Journal of Local and Global Health Science,,NA,NA,NA,2.2,NA,NA,NA
Journal of Logic and Algebraic Programming,15678326,NA,NA,NA,2.649,NA,NA,NA
Journal of Loss Prevention in the Process Industries,09504230,NA,2.499,NA,NA,NA,NA,NA
Journal of Low Frequency Noise Vibration and Active Control,14613484,NA,NA,NA,NA,NA,NA,2.201
Journal of Machine Learning Research,15324435,2.628,2.293,2.205,NA,2.136,2.924,2.454
Journal of Magnesium and Alloys,,NA,NA,2.585,2.742,NA,NA,NA
Journal of Management,01492063,4.354,5.154,5.528,4.732,5.336,4.74,5.03
Journal of Management Information Systems,07421222,NA,NA,NA,2.393,2.152,NA,NA
Journal of Management Studies,00222380,2.803,3.139,3.246,3.105,2.615,2.526,NA
Journal of Manufacturing Processes,15266125,NA,NA,NA,NA,NA,NA,2.118
Journal of Manufacturing Systems,02786125,NA,2.764,2.376,2.306,2.163,NA,2.234
Journal of Marine Biology,16879481,4.045,5.894,6.486,NA,NA,NA,NA
Journal of Marine Environmental Engineering,1061026X,NA,NA,NA,NA,3.545,NA,NA
Journal of Marketing,00222429,4.697,4.492,4.106,3.446,3.644,3.928,3.529
Journal of Marketing Research,00222437,2.251,2.527,2.386,2.9,3.004,2.509,2.273
Journal of Marketing Theory and Practice,10696679,NA,NA,2.653,NA,NA,NA,NA
Journal of Marriage and Family,00222445,2.346,2.558,NA,NA,NA,NA,2.281
Journal of Materials Chemistry,09599428,NA,NA,2.268,2.209,NA,NA,NA
Journal of Materials Processing Technology,09240136,3.702,3.425,3.655,2.482,2.647,2.689,2.773
Journal of Materials Research and Technology,,NA,NA,NA,NA,NA,2.141,2.547
Journal of Materiomics,23528478,NA,NA,NA,NA,NA,2.131,NA
Journal of Mathematical Imaging and Vision,09249907,NA,2.362,NA,NA,NA,NA,NA
Journal of Medical Engineering,23145129,NA,NA,NA,NA,4.699,3.3,NA
Journal of Medical Genetics,00222593,NA,NA,2.239,NA,NA,NA,NA
Journal of Medical Internet Research,14394456,2.381,NA,NA,NA,NA,NA,NA
Journal of Medicinal Plant Research,19960875,NA,NA,NA,2.239,NA,NA,NA
Journal of Memory and Language,0749596X,NA,NA,2.548,2.422,2.949,NA,NA
Journal of Mixed Methods Research,15586898,2.481,NA,NA,NA,NA,NA,NA
Journal of Modern History,00222801,2.594,2.341,NA,2.393,2.58,2.573,2.252
Journal of Molecular Psychiatry,,NA,NA,NA,2.704,NA,NA,NA
Journal of Monetary Economics,03043932,2.21,2.391,NA,2.302,2.592,2.225,2.533
Journal of Nephropathology,22518363,NA,5.338,NA,NA,NA,NA,NA
Journal of Network and Computer Applications,10848045,NA,2.71,2.945,2.627,2.411,2.323,2.487
"Journal of Neurology, Neurosurgery and Psychiatry",00223050,NA,NA,2.211,2.141,2.249,2.365,2.287
Journal of Nuclear Medicine,01615505,2.159,NA,NA,NA,NA,NA,NA
Journal of Numerical Mathematics,15702820,NA,NA,NA,2.99,NA,NA,NA
Journal of Occupational Health Psychology,10768998,NA,NA,NA,NA,NA,NA,2.682
Journal of Ocean and Wind Energy,23103604,NA,NA,NA,2.138,NA,NA,NA
"Journal of Open Innovation: Technology, Market, and Complexity",,NA,NA,NA,NA,5.123,5.502,2.138
Journal of Operations Management,02726963,4.204,3.508,3.975,3.514,3.066,2.956,3.661
Journal of Organizational Behavior,08943796,NA,2.814,2.546,2.463,2.515,2.848,2.914
Journal of Pathology Informatics,22295089,NA,NA,NA,3.975,NA,NA,NA
Journal of Patient Safety,15498417,NA,NA,NA,NA,3.092,NA,NA
Journal of Peace Research,00223433,NA,2.752,2.749,2.652,2.175,2.595,2.121
Journal of Peasant Studies,03066150,3.022,3.601,3.33,3.579,2.571,3.036,2.714
Journal of Personality and Social Psychology,00223514,3.563,3.607,3.596,3.282,3.121,3.222,3.346
Journal of Petrology,00223530,NA,2.328,NA,NA,NA,NA,NA
Journal of Pharmaceutical Analysis,20951779,NA,NA,NA,NA,NA,NA,2.349
Journal of Pharmacognosy and Phytotherapy,21412502,NA,NA,NA,NA,NA,NA,5.212
Journal of Pharmacy and Pharmacognosy Research,,NA,NA,2.202,NA,NA,NA,NA
Journal of Philosophical Logic,00223611,NA,NA,2.222,NA,NA,NA,NA
Journal of Philosophy,0022362X,2.887,NA,2.978,NA,NA,NA,NA
Journal of Phonetics,00954470,NA,2.353,NA,NA,NA,NA,NA
Journal of Photochemistry and Photobiology C: Photochemistry Reviews,13895567,4.145,4.145,5.399,5.063,3.527,3.222,2.697
Journal of Physical Agents,18880258,NA,NA,NA,2.441,2.263,NA,NA
Journal of Physical and Chemical Reference Data,00472689,3.643,2.42,2.238,2.191,NA,2.196,2.217
Journal of Physics G: Nuclear and Particle Physics,09543899,2.396,NA,NA,NA,NA,NA,NA
Journal of Physiotherapy,18369553,NA,NA,NA,NA,NA,NA,2.375
Journal of Pineal Research,07423098,NA,NA,NA,NA,NA,2.146,2.271
Journal of Planning Literature,08854122,NA,2.306,NA,2.723,NA,NA,2.184
"Journal of Policing, Intelligence and Counter Terrorism",18335330,NA,NA,NA,NA,2.386,NA,NA
Journal of Policy Analysis and Management,02768739,2.171,2.245,NA,2.106,NA,NA,NA
Journal of Political Economy,00223808,4.929,4.695,5.24,4.161,4.075,4.139,6.092
Journal of Political Philosophy,09638016,3.136,4.051,3.336,2.526,3.202,3.41,2.803
Journal of Politics,00223816,NA,NA,2.359,NA,NA,NA,2.366
Journal of Pre-College Engineering Education Research,21579288,NA,NA,NA,3.693,NA,3.799,3.447
Journal of Process Control,09591524,2.861,2.502,2.624,NA,2.13,NA,NA
Journal of Product Innovation Management,07376782,2.388,NA,NA,NA,2.621,2.537,2.288
Journal of Public Administration Research and Theory,10531858,2.728,2.448,3.071,3.573,3.519,2.915,3.108
Journal of Public Economics,00472727,NA,2.355,2.432,NA,NA,2.16,NA
Journal of Quality Technology,00224065,NA,NA,NA,2.269,NA,NA,NA
Journal of Quantitative Criminology,07484518,NA,NA,NA,2.102,2.341,2.747,2.54
Journal of Rail Transport Planning and Management,22109706,2.151,NA,NA,NA,NA,NA,NA
Journal of Regional Science,00224146,NA,NA,2.194,2.289,NA,NA,2.128
Journal of Research in Crime and Delinquency,00224278,NA,2.254,2.798,2.552,NA,NA,NA
Journal of Research in Science Teaching,00224308,2.933,3.626,3.284,2.692,2.911,2.874,2.822
Journal of Research on Technology in Education,15391523,NA,2.563,NA,NA,2.141,NA,NA
Journal of Retailing,00224359,2.563,NA,NA,2.345,2.533,2.832,2.781
Journal of Risk and Insurance,00224367,2.185,NA,NA,NA,NA,NA,NA
Journal of Rock Mechanics and Geotechnical Engineering,,NA,NA,NA,NA,2.244,2.322,2.111
Journal of Roman Studies,00754358,2.528,NA,2.822,2.692,2.756,NA,2.398
Journal of Scheduling,10946136,2.444,NA,NA,NA,NA,NA,NA
Journal of Scholarly Publishing,11989742,NA,6.592,NA,NA,NA,NA,NA
Journal of School Psychology,00224405,NA,NA,NA,NA,2.105,NA,NA
Journal of Second Language Writing,10603743,NA,NA,2.374,2.874,NA,2.863,2.914
Journal of Service Management,17575818,NA,NA,2.364,2.237,NA,NA,NA
Journal of Service Research,10946705,2.304,3.671,2.24,2.377,3.48,3.524,2.778
Journal of Skin Cancer,20902905,2.866,2.7,3.211,NA,NA,NA,NA
Journal of Small Business Management,00472778,2.505,NA,NA,NA,NA,NA,2.109
Journal of Social Structure,15291227,NA,2.552,NA,2.278,NA,NA,NA
Journal of Sociolinguistics,13606441,2.361,NA,NA,NA,NA,2.138,NA
Journal of Software Maintenance and Evolution,1532060X,NA,2.678,3.214,NA,NA,NA,NA
Journal of Sound and Vibration,0022460X,2.948,2.557,2.291,2.143,2.234,NA,NA
Journal of Space Weather and Space Climate,,3.232,NA,NA,NA,NA,2.312,NA
Journal of Spatial Information Science,,2.851,2.549,NA,2.205,NA,NA,NA
Journal of Statistical Software,15487660,3.316,4.436,5.045,3.681,4.812,9.454,13.78
Journal of Strategic Information Systems,09638687,NA,NA,2.459,NA,NA,2.229,2.237
Journal of Stroke,22876391,NA,NA,NA,NA,2.75,2.882,2.224
Journal of Structural Engineering,07339445,NA,2.596,2.48,NA,NA,NA,NA
Journal of Studies in International Education,10283153,NA,NA,NA,2.295,NA,2.304,2.431
Journal of Supply Chain Management,15232409,NA,NA,2.242,2.23,2.905,2.915,2.747
Journal of Sustainable Tourism,09669582,2.361,NA,NA,NA,NA,NA,NA
Journal of Systematics and Evolution,16744918,NA,NA,NA,NA,NA,NA,2.692
Journal of Systems and Software,01641212,NA,2.246,2.28,2.23,NA,NA,2.267
Journal of Systems Chemistry,17592208,3.008,2.806,NA,NA,NA,NA,NA
Journal of Teacher Education,00224871,3.423,4.463,2.858,3.223,4.23,3.176,3.429
"Journal of Technology, Learning, and Assessment",15402525,2.467,4.952,NA,NA,NA,NA,NA
Journal of Terramechanics,00224898,NA,2.65,2.954,NA,NA,NA,NA
Journal of the Academy of Marketing Science,00920703,2.177,2.98,3.594,4.121,3.704,4.283,3.448
Journal of the ACM,00045411,4.824,3.91,4.331,3.257,2.984,2.824,3.17
Journal of the American Academy of Child and Adolescent Psychiatry,08908567,2.556,2.53,2.257,2.24,NA,NA,NA
Journal of the American Academy of Dermatology,01909622,2.219,2.586,NA,NA,NA,NA,NA
Journal of the American Academy of Religion,00027189,NA,NA,NA,NA,NA,2.16,NA
Journal of the American Chemical Society,00027863,2.374,2.446,2.573,2.6,2.606,2.633,2.634
Journal of the American College of Cardiology,07351097,4.669,4.875,4.96,5.518,5.718,5.153,4.717
Journal of the American College of Surgeons,10727515,2.171,2.266,2.292,2.144,2.154,NA,NA
Journal of the American Heart Association,20479980,NA,5.412,NA,NA,NA,NA,NA
Journal of the American Mathematical Society,08940347,4.546,4.074,3.121,3.762,3.915,5.133,4.587
Journal of the American Medical Informatics Association : JAMIA,10675027,2.305,2.619,NA,2.238,NA,2.334,NA
Journal of the American Musical Instrument Society,03623300,2.429,NA,NA,NA,NA,NA,5.25
Journal of the American Musicological Society,00030139,2.157,NA,NA,NA,NA,2.307,NA
Journal of the American Planning Association,01944363,2.976,3.584,NA,NA,NA,2.15,NA
Journal of the American Society of Echocardiography,08947317,NA,2.241,NA,NA,2.917,3.255,3.588
Journal of the American Society of Nephrology : JASN,10466673,2.778,2.783,2.708,2.492,2.44,2.451,2.358
Journal of the American Statistical Association,01621459,NA,NA,2.268,NA,NA,2.213,2.551
Journal of the Association for History and Computing,19375905,NA,4.401,NA,NA,NA,NA,NA
Journal of the Association for Information Science and Technology,23301635,2.292,2.373,2.205,2.263,NA,NA,NA
